City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Isangel,-19.55,169.27,72.72,79,100,11.27,VU,1605982941
Port Alfred,-33.59,26.89,77.14,56,60,14.43,ZA,1605982942
Puerto Ayora,-0.74,-90.35,77.0,73,75,18.34,EC,1605982644
Faanui,-16.48,-151.75,80.01,72,57,9.48,PF,1605982611
Sur,22.57,59.53,71.74,54,0,3.31,OM,1605982572
Kaitangata,-46.28,169.85,48.0,87,99,8.01,NZ,1605982946
Airai,-8.93,125.41,61.14,99,11,2.21,TL,1605982947
Severo-Kuril'sk,50.68,156.12,31.32,93,87,13.4,RU,1605982539
Rikitea,-23.12,-134.97,73.06,62,8,2.82,PF,1605982949
Saint Paul Harbor,57.79,-152.41,35.6,80,90,17.22,US,1605982759
Salalah,17.02,54.09,80.6,42,0,5.82,OM,1605982952
Comodoro Rivadavia,-45.87,-67.5,77.0,31,75,14.99,AR,1605982953
São Filipe,14.9,-24.5,78.94,70,74,9.08,CV,1605982954
Neuquén,-38.95,-68.06,78.8,24,75,9.17,AR,1605982955
New Norfolk,-42.78,147.06,57.99,65,100,2.04,AU,1605982956
Yellowknife,62.46,-114.35,-7.01,76,20,9.17,CA,1605982904
Chui,-33.7,-53.46,68.38,54,82,9.98,UY,1605982959
Smithers,54.78,-127.17,19.4,92,90,5.82,CA,1605982960
Punta Arenas,-53.15,-70.92,62.6,45,0,16.11,CL,1605982913
Busselton,-33.65,115.33,52.0,94,42,8.93,AU,1605982962
Robertsport,6.75,-11.37,80.62,78,42,9.86,LR,1605982963
Butaritari,3.07,172.79,81.45,76,71,15.59,KI,1605982964
Manyana,-23.4,21.72,75.6,63,100,11.01,BW,1605982966
Imeni Poliny Osipenko,52.42,136.49,10.63,95,97,4.47,RU,1605982967
Chokurdakh,70.63,147.92,-0.65,93,100,3.4,RU,1605982968
Ushuaia,-54.8,-68.3,66.2,29,75,12.75,AR,1605982970
Varanasi,25.33,83.0,60.8,67,12,4.7,IN,1605982885
Pevek,69.7,170.31,11.05,97,100,4.23,RU,1605982449
Schruns,47.07,9.95,36.0,84,7,3.0,AT,1605982973
Bluff,-46.6,168.33,50.0,79,97,5.01,NZ,1605982974
Shiojiri,36.1,137.97,39.99,66,0,5.06,JP,1605982975
Churapcha,62.0,132.43,-8.09,91,99,2.24,RU,1605982976
Saint Anthony,45.02,-93.22,36.0,55,1,5.82,US,1605982977
Tacoronte,28.48,-16.41,73.0,48,0,9.17,ES,1605982978
General Pico,-35.66,-63.76,85.44,27,51,5.53,AR,1605982713
Geraldton,-28.77,114.6,60.8,77,40,12.75,AU,1605982573
Klaksvík,62.23,-6.59,42.8,81,100,38.03,FO,1605982982
Hobart,-42.88,147.33,59.0,67,90,8.05,AU,1605982850
Hinton,53.4,-117.59,28.4,86,14,2.24,CA,1605982984
Kapaa,22.08,-159.32,78.01,78,90,19.46,US,1605982985
Vila Velha,-20.33,-40.29,81.0,61,40,14.99,BR,1605982810
Carnarvon,-24.87,113.63,69.8,77,19,20.8,AU,1605982987
Labuhan,-6.88,112.21,81.57,76,88,1.41,ID,1605982699
Yar-Sale,66.83,70.83,24.35,95,12,15.12,RU,1605982989
Hermanus,-34.42,19.23,63.0,84,79,5.01,ZA,1605982990
Dostpur,26.28,82.47,60.46,34,0,6.11,IN,1605982991
Liverpool,53.41,-2.98,50.0,93,74,6.93,GB,1605982806
Trofors,65.53,13.41,41.0,86,100,25.28,NO,1605982993
Narsaq,60.92,-46.05,17.6,57,20,2.24,GL,1605982995
Atuona,-9.8,-139.03,77.22,74,29,15.19,PF,1605982996
Pangody,65.85,74.49,23.07,96,51,17.54,RU,1605982997
Albany,42.6,-73.97,50.0,46,100,9.26,US,1605982998
Mataura,-46.19,168.86,50.0,79,100,5.01,NZ,1605982999
Hilo,19.73,-155.09,75.2,88,90,7.85,US,1605983000
Ilorin,8.5,4.55,87.8,31,0,8.05,NG,1605983001
Galich,58.38,42.35,31.01,97,100,7.47,RU,1605983003
Cape Town,-33.93,18.42,70.0,68,40,11.41,ZA,1605982989
Bredasdorp,-34.53,20.04,64.4,72,58,10.29,ZA,1605983005
Byron Bay,-28.65,153.62,62.01,93,4,5.5,AU,1605983006
Upernavik,72.79,-56.15,20.73,89,100,3.91,GL,1605983007
Trelew,-43.25,-65.31,79.5,26,100,7.45,AR,1605983008
Baykit,61.67,96.37,21.42,94,92,7.27,RU,1605982599
Paamiut,61.99,-49.67,28.45,85,91,9.75,GL,1605983010
Barrow,71.29,-156.79,12.2,85,1,12.75,US,1605983011
Ribeira Grande,38.52,-28.7,66.2,72,20,4.7,PT,1605983012
Jamestown,42.1,-79.24,39.99,74,90,8.05,US,1605983013
Vaini,-21.2,-175.2,73.4,83,75,5.82,TO,1605983014
Bethel,41.37,-73.41,59.0,50,1,6.93,US,1605983015
Chāmpua,22.08,85.67,65.89,66,1,4.23,IN,1605983017
Tiarei,-17.53,-149.33,82.4,65,20,3.36,PF,1605982579
Vostok,46.49,135.88,12.85,97,100,10.38,RU,1605982578
Port-Gentil,-0.72,8.78,80.6,88,40,11.41,GA,1605983020
Puerto Madryn,-42.77,-65.04,72.41,43,100,17.76,AR,1605982526
Kasongo-Lunda,-6.47,16.82,73.33,90,97,1.32,CD,1605983022
Yong’an,39.7,113.69,17.98,86,95,7.16,CN,1605983023
Los Llanos de Aridane,28.66,-17.92,75.2,44,0,4.7,ES,1605983024
Tuktoyaktuk,69.45,-133.04,14.0,92,90,12.75,CA,1605983025
West Sacramento,38.58,-121.53,52.0,66,1,3.36,US,1605983027
Vardø,70.37,31.11,34.14,84,100,27.58,NO,1605982696
Katete,-0.78,29.75,62.71,96,83,4.61,UG,1605983029
Nikolskoye,59.7,30.79,34.0,86,75,11.18,RU,1605983030
Yeppoon,-23.13,150.73,69.8,77,40,4.7,AU,1605983031
Kalga,50.93,118.9,-4.45,87,0,3.29,RU,1605983033
Karacaköy,41.4,28.38,54.0,76,75,21.92,TR,1605983034
Umluj,25.02,37.27,74.19,59,0,15.28,SA,1605982971
Yura,-16.25,-71.68,71.6,14,0,9.17,PE,1605983036
Tiznit Province,29.58,-9.5,66.96,34,0,2.82,MA,1605982888
Yumen,40.28,97.2,5.02,74,0,7.56,CN,1605983038
Ilulissat,69.22,-51.1,23.0,62,40,19.46,GL,1605983039
Kot Kapūra,30.58,74.9,57.18,33,0,3.42,IN,1605983041
Arraial do Cabo,-22.97,-42.03,75.2,64,75,12.75,BR,1605983042
Cabo San Lucas,22.89,-109.91,91.0,33,5,4.7,MX,1605982506
Provideniya,64.38,-173.3,30.0,95,100,24.65,RU,1605983044
Tilichiki,60.47,166.1,0.28,95,33,7.63,RU,1605983046
Iwanai,42.97,140.51,39.92,78,100,5.3,JP,1605983047
Marsabit,2.33,37.99,72.57,64,82,13.15,KE,1605983048
Mount Gambier,-37.83,140.77,60.8,87,90,6.93,AU,1605982812
Qaanaaq,77.48,-69.36,5.56,91,93,1.12,GL,1605983050
Ponta do Sol,32.67,-17.1,68.0,82,40,6.93,PT,1605983052
Goderich,43.75,-81.72,39.2,60,100,12.75,CA,1605983053
Tuatapere,-46.13,167.68,50.0,79,90,5.01,NZ,1605983054
Vidim,56.41,103.11,21.4,96,100,8.68,RU,1605983056
Cidreira,-30.18,-50.21,69.03,54,14,10.65,BR,1605983057
Kathmandu,27.72,85.32,51.8,93,40,3.36,NP,1605982831
Aguadilla,18.43,-67.15,86.0,70,40,11.41,PR,1605983060
Kailua,21.4,-157.74,77.0,88,90,13.87,US,1605983061
Saint-Philippe,-21.36,55.77,75.2,60,0,3.36,RE,1605983062
Inhambane,-23.86,35.38,77.0,73,20,9.17,MZ,1605983064
Point Fortin,10.18,-61.68,77.0,86,83,5.99,TT,1605983065
Kastamonu Province,41.5,33.67,35.06,89,6,3.04,TR,1605983066
Taltal,-25.4,-70.48,68.45,46,11,6.67,CL,1605983068
Bengkulu,-3.8,102.27,76.39,90,100,6.73,ID,1605983069
Hithadhoo,-0.6,73.08,82.4,77,92,10.25,MV,1605983070
Tucupita,9.06,-62.05,83.03,83,55,4.27,VE,1605983071
Chimoio,-19.12,33.48,69.8,100,20,4.7,MZ,1605983072
Albion,42.24,-84.75,43.0,60,1,3.36,US,1605983074
Moanda,-1.56,13.22,80.6,88,40,3.36,GA,1605983075
Saldanha,-33.01,17.94,62.6,77,69,10.29,ZA,1605982652
San Patricio,28.02,-97.52,82.99,58,40,11.41,US,1605983077
Lüderitz,-26.65,15.16,66.2,72,7,23.04,NA,1605983078
Broome,42.25,-75.83,46.99,67,90,10.29,US,1605982560
Xuanzhou,30.95,118.76,53.35,90,99,11.86,CN,1605983080
Thompson,55.74,-97.86,10.4,85,75,9.17,CA,1605983082
Hamilton,39.18,-84.53,48.0,87,90,9.17,US,1605982452
Tomatlán,19.93,-105.25,91.83,40,0,3.49,MX,1605983084
Awjilah,29.11,21.29,65.19,55,69,5.12,LY,1605983086
Estelle,29.85,-90.11,75.2,69,75,8.05,US,1605983087
Władysławowo,54.79,18.4,41.0,70,75,21.92,PL,1605983088
Iracoubo,5.48,-53.2,82.83,76,70,11.74,GF,1605983089
Dingle,11.0,122.67,75.94,92,73,8.21,PH,1605982491
George Town,5.41,100.34,77.0,94,40,2.24,MY,1605983091
Juneau,58.3,-134.42,33.8,80,90,5.82,US,1605983092
